id,premise,hypothesis,seed_label,topic,grade_level,subject,source_id,license,difficulty,negation_flag,batch_id,unit_id,notes,ai_assisted,ai_tool,human_verified
VNLI_B001_0001,Mở bài cần giới thiệu được vấn đề nghị luận và định hướng triển khai ý chính.,Mở bài nên nêu được vấn đề chính cần bàn luận.,ENT,nghi_luan,12,Ngu_van,SRC0101,allowed,easy,no,batch_001,UNIT_B001_001,,yes,Gemini,yes
VNLI_B001_0002,Mở bài cần giới thiệu được vấn đề nghị luận và định hướng triển khai ý chính.,Mở bài không cần đề cập đến vấn đề nghị luận.,CON,nghi_luan,12,Ngu_van,SRC0101,allowed,easy,yes,batch_001,UNIT_B001_001,,yes,Gemini,yes
VNLI_B001_0003,Câu hỏi đọc hiểu yêu cầu học sinh bám vào ngữ liệu để xác định và giải thích thông tin.,Học sinh cần dựa vào ngữ liệu để trả lời câu hỏi đọc hiểu.,ENT,doc_hieu,12,Ngu_van,SRC0102,allowed,easy,no,batch_001,UNIT_B001_002,,no,none,yes
VNLI_B001_0004,Câu hỏi đọc hiểu yêu cầu học sinh bám vào ngữ liệu để xác định và giải thích thông tin.,Học sinh phải nộp câu trả lời bằng video ngắn.,NEU,doc_hieu,12,Ngu_van,SRC0102,allowed,medium,no,batch_001,UNIT_B001_002,,no,none,yes
VNLI_B001_0005,Từ ngữ lặp lại nhiều lần có thể tạo nhịp điệu và nhấn mạnh cảm xúc trong đoạn thơ.,Sự lặp lại từ ngữ không có tác dụng tạo nhịp điệu hay nhấn mạnh cảm xúc.,CON,tieng_viet,11,Ngu_van,SRC0105,allowed,medium,yes,batch_001,UNIT_B001_003,,yes,Gemini,yes
VNLI_B001_0006,Từ ngữ lặp lại nhiều lần có thể tạo nhịp điệu và nhấn mạnh cảm xúc trong đoạn thơ.,Đoạn thơ này chắc chắn được viết theo thể lục bát.,NEU,tieng_viet,11,Ngu_van,SRC0105,allowed,medium,no,batch_001,UNIT_B001_003,,yes,Gemini,yes
VNLI_B001_0007,Kết bài nên khái quát vấn đề đã bàn luận và mở ra suy nghĩ thêm cho người đọc.,Kết bài có thể dùng để tổng kết lại vấn đề đã trình bày.,ENT,nghi_luan,11,Ngu_van,SRC0103,allowed,easy,no,batch_001,UNIT_B001_004,,no,none,yes
VNLI_B001_0008,Kết bài nên khái quát vấn đề đã bàn luận và mở ra suy nghĩ thêm cho người đọc.,Kết bài không cần nhắc lại vấn đề đã bàn luận.,CON,nghi_luan,11,Ngu_van,SRC0103,allowed,easy,yes,batch_001,UNIT_B001_004,,no,none,yes
VNLI_B001_0009,Chi tiết miêu tả hành động thường giúp người đọc suy ra tính cách nhân vật.,Miêu tả hành động có thể giúp làm rõ tính cách nhân vật.,ENT,doc_hieu,10,Ngu_van,SRC0106,allowed,easy,no,batch_001,UNIT_B001_005,,yes,Gemini,yes
VNLI_B001_0010,Chi tiết miêu tả hành động thường giúp người đọc suy ra tính cách nhân vật.,Người học phải trả lời bằng sơ đồ tư duy màu sắc.,NEU,doc_hieu,10,Ngu_van,SRC0106,allowed,medium,no,batch_001,UNIT_B001_005,,yes,Gemini,yes
VNLI_B001_0011,Khi đề yêu cầu liên hệ bản thân học sinh cần kết nối nội dung văn bản với trải nghiệm của mình.,Liên hệ bản thân không cần gắn với trải nghiệm của người viết.,CON,ky_nang_viet,11,Ngu_van,SRC0107,allowed,medium,yes,batch_001,UNIT_B001_006,,no,none,yes
VNLI_B001_0012,Khi đề yêu cầu liên hệ bản thân học sinh cần kết nối nội dung văn bản với trải nghiệm của mình.,Học sinh phải trình bày phần liên hệ bằng tiếng Anh.,NEU,ky_nang_viet,11,Ngu_van,SRC0107,allowed,medium,no,batch_001,UNIT_B001_006,,no,none,yes
