id,premise,hypothesis,label,topic,grade_level,subject,source_id,license,difficulty,negation_flag,annotator_id,adjudication_note,split
VNLI_DEMO_0001,Đoạn văn yêu cầu người viết nêu luận điểm chính ngay ở phần mở đầu.,Phần mở đầu có thể trình bày luận điểm chính.,ENT,nghi_luan,12,Ngu_van,SRC0001,author_owned,easy,no,author_v1,initial_demo,demo
VNLI_DEMO_0002,Giáo viên yêu cầu học sinh viết đoạn văn khoảng 200 chữ về ý nghĩa của lòng biết ơn.,Học sinh sẽ viết về một chủ đề xã hội.,ENT,nghi_luan,12,Ngu_van,SRC0001,author_owned,easy,no,author_v1,initial_demo,demo
VNLI_DEMO_0003,Văn bản cho biết tác giả sử dụng ngôi kể thứ nhất.,Người kể chuyện xưng tôi.,ENT,doc_hieu,11,Ngu_van,SRC0001,author_owned,easy,no,author_v1,initial_demo,demo
VNLI_DEMO_0004,Tài liệu ôn tập nhấn mạnh rằng học sinh không nên học tủ trước kì kiểm tra.,Học tủ là cách học không được khuyến khích.,ENT,ky_nang_viet,12,Ngu_van,SRC0001,author_owned,easy,yes,author_v1,initial_demo,demo
VNLI_DEMO_0005,Đoạn văn mẫu đặt câu chủ đề ở câu đầu tiên.,Người đọc có thể nhận ra ý chính ngay từ đầu đoạn.,ENT,doc_hieu,10,Ngu_van,SRC0001,author_owned,easy,no,author_v1,initial_demo,demo
VNLI_DEMO_0006,Đề bài yêu cầu so sánh hai nhân vật trong hai đoạn trích.,Bài làm cần đề cập đến cả hai nhân vật.,ENT,nghi_luan,12,Ngu_van,SRC0001,author_owned,easy,no,author_v1,initial_demo,demo
VNLI_DEMO_0007,Trong đoạn thơ người viết lặp lại nhiều lần cụm từ quê hương.,Đoạn thơ có sử dụng phép lặp.,ENT,doc_hieu,10,Ngu_van,SRC0001,author_owned,medium,no,author_v1,initial_demo,demo
VNLI_DEMO_0008,Phần kết bài được hướng dẫn dùng để khái quát lại vấn đề đã bàn luận.,Kết bài có chức năng tổng kết vấn đề.,ENT,nghi_luan,11,Ngu_van,SRC0001,author_owned,easy,no,author_v1,initial_demo,demo
VNLI_DEMO_0009,Đoạn thơ thể hiện tình cảm gắn bó giữa các thành viên trong gia đình.,Đoạn thơ nói về tình cảm gia đình.,ENT,doc_hieu,10,Ngu_van,SRC0001,author_owned,easy,no,author_v1,initial_demo,demo
VNLI_DEMO_0010,Hướng dẫn làm bài nói rõ rằng không cần dùng dẫn chứng ngoài văn bản cho câu hỏi này.,Học sinh chỉ cần dựa vào văn bản đã cho để trả lời.,ENT,doc_hieu,12,Ngu_van,SRC0001,author_owned,medium,yes,author_v1,initial_demo,demo
