source_id,source_name,source_type,url,license_or_terms,legal_status,usage_mode,topic,notes,status
SRC0001,Tự biên soạn nội bộ demo,internal_authoring,NA,author_owned,allowed,self_authored,ngu_van_thpt,Dùng cho bộ demo ban đầu,approved
SRC0002,Ghi chú học thuật tự viết,internal_note,NA,author_owned,allowed,self_authored,ngu_van_thpt,Chỉ diễn giải kiến thức chung không sao chép,approved
SRC0003,Nguồn công khai mẫu 01,public_web,TBD,TBD,review_needed,paraphrase_only,ngu_van_thpt,Cần kiểm tra license trước khi dùng,pending
SRC0004,Nguồn công khai mẫu 02,public_web,TBD,TBD,review_needed,paraphrase_only,doc_hieu,Cần kiểm tra điều khoản sử dụng,pending
SRC0005,Nguồn công khai mẫu 03,official_document,TBD,TBD,review_needed,paraphrase_only,ky_nang_viet,Cần xác nhận mức độ cho phép,pending
SRC0006,Nguồn mở mẫu 01,open_resource,TBD,TBD,review_needed,paraphrase_only,tieng_viet,Cần xác nhận cách trích dẫn,pending
SRC0007,Nguồn mở mẫu 02,open_resource,TBD,TBD,review_needed,paraphrase_only,nghi_luan,Cần xác nhận cách paraphrase,pending
SRC0008,Nguồn sẽ bổ sung sau 01,unknown,TBD,TBD,not_checked,not_use_yet,khac,Chưa được phép dùng khi chưa kiểm tra,pending
SRC0009,Nguồn sẽ bổ sung sau 02,unknown,TBD,TBD,not_checked,not_use_yet,khac,Chưa được phép dùng khi chưa kiểm tra,pending
SRC0101,MOET - Chương trình giáo dục phổ thông,official_portal,https://moet.gov.vn/tin-tuc-cot-phai/chuong-trinh-giao-duc-pho-thong,official_public_info,allowed,paraphrase_only,curriculum,Dùng để trích ý/paraphrase định hướng CT GDPT 2018,approved
SRC0102,MOET - Chương trình tổng thể GDPT 2018 PDF,official_document,https://moet.gov.vn/content/vanban/Lists/VBPQ/Attachments/1483/vbhn-chuong-trinh-tong-the.pdf,official_public_info,allowed,paraphrase_only,curriculum,Dùng để tạo source units về yêu cầu cần đạt và định hướng năng lực,approved
SRC0103,MOET - Chương trình giáo dục phổ thông mới,official_portal,https://moet.gov.vn/tin-tuc/chuong-trinh-giao-duc-pho-thong-moi,official_public_info,allowed,paraphrase_only,curriculum,Dùng để đối chiếu thông tin cập nhật liên quan CT GDPT 2018,approved
SRC0104,VQA - Cấu trúc định dạng đề thi THPT từ 2025,official_exam_info,https://vqa.moet.gov.vn/vi/news/thong-bao/cau-truc-dinh-dang-de-thi-tot-nghiep-thpt-tu-nam-2025-74.html,official_public_info,allowed,paraphrase_only,exam_format,Dùng để sinh source units về dạng thức đánh giá và yêu cầu câu hỏi,approved
SRC0105,VQA - Đề thi tham khảo THPT từ 2025,official_exam_info,https://vqa.moet.gov.vn/vi/news/tin-tuc-su-kien/de-thi-tham-khao-ky-thi-tot-nghiep-thpt-tu-nam-2025-159.html,official_public_info,allowed,paraphrase_only,exam_reference,Dùng để sinh source units từ cách ra đề và ngữ cảnh đánh giá,approved
SRC0106,VQA - Quy chế thi tốt nghiệp THPT từ 2025,official_exam_info,https://vqa.moet.gov.vn/vi/news/tin-tuc-su-kien/ban-hanh-quy-che-thi-tot-nghiep-thpt-tu-nam-2025-167.html,official_public_info,allowed,paraphrase_only,exam_regulation,Dùng để tạo source units về quy trình/điều kiện/yêu cầu thi cử,approved
SRC0107,VOER - Trang chủ và thông tin giấy phép chung,open_resource,https://voer.edu.vn/,CC BY 3.0 unless noted otherwise,allowed,open_reuse_with_attribution,open_education,Dùng như nguồn gốc cho học liệu mở và để kiểm tra license từng module,approved
SRC0108,VOER - Quy tắc đặt dấu thanh trong tiếng Việt,open_resource,https://voer.edu.vn/m/quy-tac-dat-dau-thanh-trong-tieng-viet/3ea5fb8e,CC BY 3.0 unless noted otherwise,allowed,open_reuse_with_attribution,tieng_viet,Dùng để sinh source units về chính tả và quy tắc dấu thanh,approved
SRC0109,VOER - Cái gạch nối trong chữ Việt,open_resource,https://voer.edu.vn/m/cai-gach-noi-trong-chu-viet/ea274d1a,CC BY 3.0 unless noted otherwise,allowed,open_reuse_with_attribution,tieng_viet,Dùng để sinh source units về quy tắc chính tả và ghép từ,approved
SRC0110,Tự biên soạn nội bộ batch_001,internal_authoring,NA,author_owned,allowed,self_authored,doc_hieu,Dùng cho các unit do tác giả tự diễn giải từ yêu cầu học tập và đọc hiểu,approved
SRC0111,Ghi chú học thuật tự viết có kiểm soát,internal_authoring,NA,author_owned,allowed,self_authored,nghi_luan,Dùng cho các unit nghị luận và kỹ năng viết do tác giả tự soạn,approved
