task_id,sample_id,premise,hypothesis,topic,grade_level,subject,difficulty,negation_flag,label,confidence,rationale,quality_flags,annotator_note,lead_time_sec
1,VNLI_DEMO_0001,Đoạn văn yêu cầu người viết nêu luận điểm chính ngay ở phần mở đầu.,Phần mở đầu có thể trình bày luận điểm chính.,nghi_luan,12,Ngu_van,easy,no,ENT,high,"Tiền đề khẳng định việc nêu luận điểm chính ở phần mở đầu là một ""yêu cầu"" (mang tính bắt buộc/hướng dẫn). Nếu một việc được yêu cầu thực hiện ở phần mở đầu, thì hiển nhiên phần mở đầu ""có thể"" (khả năng) thực hiện/trình bày việc đó. Do ""must/require"" (phải/yêu cầu) luôn bao hàm ""can"" (có thể), tiền đề hoàn toàn suy ra được giả thuyết.",,,200.176
2,VNLI_DEMO_0002,Giáo viên yêu cầu học sinh viết đoạn văn khoảng 200 chữ về ý nghĩa của lòng biết ơn.,Học sinh sẽ viết về một chủ đề xã hội.,nghi_luan,12,Ngu_van,easy,no,ENT,high,"""Lòng biết ơn"" là một vấn đề tư tưởng đạo lý, thuộc phạm trù ""chủ đề xã hội"" (rất phổ biến trong dạng bài nghị luận xã hội môn Ngữ Văn). Vì học sinh được yêu cầu viết về ""lòng biết ơn"", điều đó đồng nghĩa với việc các em sẽ viết về một ""chủ đề xã hội"". Tiền đề hoàn toàn suy ra được giả thuyết.",,,32.443
3,VNLI_DEMO_0003,Văn bản cho biết tác giả sử dụng ngôi kể thứ nhất.,Người kể chuyện xưng tôi.,doc_hieu,11,Ngu_van,easy,no,ENT,high,"Trong kiến thức Ngữ Văn cơ bản, ""ngôi kể thứ nhất"" được định nghĩa đặc trưng bởi việc người kể chuyện trực tiếp xuất hiện trong tác phẩm và xưng ""tôi"". Do đó, khi tác giả sử dụng ngôi kể thứ nhất, hiển nhiên người kể chuyện xưng tôi. Tiền đề hoàn toàn suy ra được giả thuyết.",,,28.22
4,VNLI_DEMO_0004,Tài liệu ôn tập nhấn mạnh rằng học sinh không nên học tủ trước kì kiểm tra.,Học tủ là cách học không được khuyến khích.,ky_nang_viet,12,Ngu_van,easy,yes,ENT,high,"Lời khuyên ""không nên"" từ tài liệu ôn tập trong tiền đề mang ý nghĩa tương đương với việc hành động đó ""không được khuyến khích"" nêu ở giả thuyết. Mối quan hệ ngữ nghĩa ở đây rất rõ ràng, tiền đề hoàn toàn khẳng định tính đúng đắn của giả thuyết.",,,36.404
5,VNLI_DEMO_0005,Đoạn văn mẫu đặt câu chủ đề ở câu đầu tiên.,Người đọc có thể nhận ra ý chính ngay từ đầu đoạn.,doc_hieu,10,Ngu_van,easy,no,ENT,high,"Về mặt kiến thức tạo lập văn bản, ""câu chủ đề"" là câu chứa đựng ""ý chính"" của toàn đoạn. Khi câu chủ đề được đặt ở ""câu đầu tiên"", điều đó đồng nghĩa với việc ""ý chính"" đã xuất hiện ""ngay từ đầu đoạn"", giúp người đọc có thể dễ dàng nhận ra. Tiền đề hoàn toàn bao hàm và khẳng định giả thuyết.",,,28.928
6,VNLI_DEMO_0006,Đề bài yêu cầu so sánh hai nhân vật trong hai đoạn trích.,Bài làm cần đề cập đến cả hai nhân vật.,nghi_luan,12,Ngu_van,easy,no,ENT,high,"Thao tác ""so sánh hai nhân vật"" bắt buộc người viết phải phân tích, đối chiếu để tìm ra điểm giống và khác nhau giữa họ. Do đó, một điều kiện hiển nhiên và bắt buộc là bài làm ""cần đề cập đến cả hai nhân vật"". Tiền đề hoàn toàn khẳng định tính đúng đắn của giả thuyết.",,,33.972
7,VNLI_DEMO_0007,Trong đoạn thơ người viết lặp lại nhiều lần cụm từ quê hương.,Đoạn thơ có sử dụng phép lặp.,doc_hieu,10,Ngu_van,medium,no,ENT,high,"Việc ""lặp lại nhiều lần"" một cụm từ (ở đây là ""quê hương"") trong văn bản nghệ thuật chính là biểu hiện trực tiếp của biện pháp tu từ ""phép lặp"" (hay điệp từ/điệp ngữ). Do đó, nội dung của tiền đề hoàn toàn bao hàm và khẳng định tính đúng đắn của giả thuyết.",,,30.247
8,VNLI_DEMO_0008,Phần kết bài được hướng dẫn dùng để khái quát lại vấn đề đã bàn luận.,Kết bài có chức năng tổng kết vấn đề.,nghi_luan,11,Ngu_van,easy,no,ENT,high,"Thao tác ""khái quát lại vấn đề đã bàn luận"" mang ý nghĩa đồng nhất hoàn toàn với việc ""tổng kết vấn đề"". Hai câu này diễn đạt cùng một nội dung về chức năng của phần kết bài trong văn bản nghị luận. Tiền đề khẳng định và kéo theo giả thuyết một cách rõ ràng.",,,28.724
9,VNLI_DEMO_0009,Đoạn thơ thể hiện tình cảm gắn bó giữa các thành viên trong gia đình.,Đoạn thơ nói về tình cảm gia đình.,doc_hieu,10,Ngu_van,easy,no,ENT,high,"""Tình cảm gắn bó giữa các thành viên trong gia đình"" chính là định nghĩa và biểu hiện cụ thể của khái niệm ""tình cảm gia đình"". Việc đoạn thơ thể hiện sự gắn bó này đồng nghĩa với việc nó đang nói về đề tài tình cảm gia đình. Tiền đề hoàn toàn bao hàm và suy ra được giả thuyết.",,,36.548
10,VNLI_DEMO_0010,Hướng dẫn làm bài nói rõ rằng không cần dùng dẫn chứng ngoài văn bản cho câu hỏi này.,Học sinh chỉ cần dựa vào văn bản đã cho để trả lời.,doc_hieu,12,Ngu_van,medium,yes,ENT,high,"Yêu cầu ""không cần dùng dẫn chứng ngoài văn bản"" mang ý nghĩa giới hạn phạm vi dữ liệu. Nếu không cần bất cứ thứ gì từ bên ngoài, điều đó đồng nghĩa với việc mọi thông tin cần thiết đều đã có sẵn ở bên trong. Do đó, việc học sinh ""chỉ cần dựa vào văn bản đã cho để trả lời"" là một suy luận hoàn toàn chính xác và tương đương về mặt ngữ nghĩa. Tiền đề kéo theo giả thuyết.",,,35.351
